epoch,loss,iou_0,iou_1,iou_2,iou_3,iou_4,iou_5,iou_6,iou_7,iou_8,iou_9,iou_10,iou_11,iou_12,iou_13,lr,val_loss,val_iou_0,val_iou_1,val_iou_2,val_iou_3,val_iou_4,val_iou_5,val_iou_6,val_iou_7,val_iou_8,val_iou_9,val_iou_10,val_iou_11,val_iou_12,val_iou_13
0,29.45546952280779,0.003573682137756276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.06215714476283453,4.88094430366841e-08,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,44.95703712318442,0.0017402962599018857,0.0007083552549186833,0.000356270216554116,7.231729122836126e-05,0.001709964352382813,1.2952034527388444e-05,0.0002495194165755128,0.0004256370528122523,0.00021832064062954836,0.00014250140172970935,0.0001881958338532075,0.0006153625719821245,0.14301909325769466,0.0011723187127054436,0.001,0.06726600034878805,8.7675496420802e-07,0.0,1.3339878767181765e-06,1.728379258350259e-06,1.221659783323159e-06,0.0,1.8119376316808595e-06,0.0,0.0,0.0,9.330512276931587e-07,2.4103703775122083e-06,0.1921319963944139,2.4427652547247183e-05
0,4968.10980378487,0.049879934232170596,0.00423037579819392,0.0010757805982790133,0.00012060088787147212,0.011244293678910508,7.830139028949619e-05,0.009935852644539285,0.00394209040933348,0.0012618337514559046,0.0008274290195282661,0.001732517188145661,0.0012546455648722722,0.003944294645529744,0.0051664164820208495,0.001,0.09802501476728,0.00983000789176659,0.0009498926854683095,9.270553545337747e-05,0.0,0.00022553572540266205,0.0,4.986631749624426e-05,0.0,0.00012012495134619223,1.9703127585223532e-05,0.00034090294022480147,0.00040665552779716965,4.130986317983181e-05,0.0003052756610153432
0,2447.3427259543564,0.009320203205888736,0.0007074227777141771,0.0027387905470394433,0.0012739603392022676,0.003244534000050684,0.03087199117775052,0.0025678132576533036,0.001916557425921791,0.001220180795842811,0.0007187060691615776,0.009405265039500543,6.21667171362092e-05,0.004096087195537221,0.0031655594359984926,0.001,0.08784176466556695,0.004249094728742878,0.0,0.003963526556910979,6.690207951688363e-05,0.0,0.00010190268030763365,1.8775922508012625e-06,2.3468614248734453e-06,0.0,1.1635996006631259e-05,1.4257555613377864e-05,0.0,1.4239589020121374e-05,2.4484664710833926e-05
0,398.0540488387367,0.1584824981843967,0.006436994299379494,0.0017999480312393384,0.0020807577302289983,0.028489406244808772,0.008374820629193317,0.0061839191225536855,0.011657370690531545,0.002294010677842328,0.008546173872714793,0.013601860506060598,0.0013481868873822247,0.003523754355710141,0.007165946048981561,0.001,0.07673679062953362,0.24605495961959029,0.00010863140325179786,7.690373866466277e-05,5.6278654111077645e-05,0.0003906263472485836,7.421614296265863e-05,8.93202384203887e-06,0.00016280950837584062,6.619886137958427e-05,0.00018536944704152335,0.000163582163610774,0.00012212781548231764,3.0723871577430186e-05,0.00024902707836452247
0,970.2747585845996,0.05938210274652449,0.008146737363208813,0.0017572184883718625,0.000987104160695144,0.01811555813877245,0.016929173980998007,0.0004613718052109473,0.010134980360432859,0.002716920054906727,0.004039337466120039,0.051083338451423835,0.0001683046920148657,0.023372055059597,0.00802393294571384,0.001,0.13192596630408213,0.025850999888775664,8.057921192192156e-05,0.00012594605172399576,5.208062080099995e-06,0.0001665779507491743,0.00023248011307100901,2.4281450188825847e-05,0.0007911235734340099,0.00040027847478000796,0.00020801718649748663,0.08444803742724294,0.0001435327102093874,0.0013689954915537842,0.0008376037806096362
0,1752.0768513475766,0.2043947147082514,0.0003571068120974994,0.0010806066376935015,0.0010592197325682133,0.01712195245344138,0.007028281722319357,0.000927949039634089,0.006706287882551423,0.0016420492390525295,0.0028063345024459435,0.0007978235839155168,0.0006396007989941182,0.00585048282781244,0.009590307129798227,0.001,0.07564604970125052,0.2943456467837916,0.0,6.311218628738606e-05,2.61317212964818e-05,8.301809246818898e-06,6.075170731157425e-05,1.1400134695094631e-05,2.2554118607598934e-06,0.0,0.0,0.0,0.0,8.37792708660638e-05,0.00016095041969117638
0,761.6011912500963,0.0052980137489013965,0.011235054503915699,0.0013005850481925554,0.00033621619576720287,0.06837995198546866,0.029126917288097222,0.007832704200930905,0.0026011931585762284,0.0017869789665107942,0.005759226849462047,0.002166317594979055,0.0007319752907048643,0.0007152246301720164,0.002593576214270457,0.001,0.11182436289695594,0.0002207095221816281,0.0015010779084294104,0.0006993541790232838,0.0,0.09505722931356363,0.0010653140446796163,0.00017969218053091816,2.6506945560165573e-05,0.00017123426365715715,0.0006346743677989551,6.0700449976962035e-05,0.00039326834218449325,5.313624589266075e-05,0.0001496369590426292
0,109.64606689008991,0.03767695547581299,0.0038970992942090965,0.0012907927856716569,0.004427512853047944,0.01853339187443704,0.12945655181390991,0.001389520519644883,0.0061581643888995495,0.002230449182788049,0.0016344914722473483,0.0017251507734675365,0.0006310447839673246,0.006918677037699266,0.003783492079744708,0.001,0.08984255102964547,0.297971977756213,0.0005116015528853091,0.00014524657948853422,0.00010106572217674547,0.0016315538632499437,0.0001704792220537531,0.00017092974686433516,0.00026225277116706405,5.8366963498458755e-05,8.29746982486807e-06,2.463150352467563e-06,5.936949595297936e-05,1.718924070815904e-05,0.00035981425350754305
0,1231.6257210315857,0.03413694051166085,0.010013457554373226,0.0009443356243666028,0.0008088908702066277,0.01860632625859197,0.002745223879123503,0.019788797688127167,0.027095096292447832,0.001204066343337396,0.00843516930708996,0.021733693554423308,0.0008445107284959038,0.002710369110363302,0.0034771218842560895,0.001,0.09485899771635349,0.0036191960149425067,0.0001713457950802975,0.0,0.0,0.00017330543622742209,1.6308963777786647e-05,1.8904962148724568e-05,0.030113334567729525,0.0006256495807404783,8.008584114210172e-05,0.0013533645241790783,0.0,0.00026129918375992735,1.6807174646713188e-06
